ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"103.240.33.177","elite","AS132923","IN","Vihaan Telecommunication Pvt. Ltd.","138","Vihaan","8291","socks4","2198","1","2023-09-30T02:04:12.439Z","99","4132","4175"
"103.251.222.1","elite","AS58972","IN","BHOMIKA","190","Bhomika","4145","socks4","2891","1","2023-09-30T02:04:12.240Z","100","4019","4039"
"103.121.62.14","elite","AS138146","BD","North Bengal Online","185","North Bengal Online","5678","socks4","4312","1","2023-09-30T02:04:10.532Z","99","4090","4118"
"185.6.10.137","elite","AS12552","SE","GlobalConnect AB","32","Internet Vikings International AB","62458","socks4","3702","1","2023-09-30T02:04:10.474Z","100","4028","4029"
"104.248.20.36","elite","AS14061","DE","DigitalOcean, LLC","23","DigitalOcean, LLC","9050","socks4","5108","1","2023-09-30T02:04:09.737Z","100","4092","4092"
"46.29.116.6","elite","AS44963","RU","KMVtelecom","72","Joint Stock company \"KMVtelecom\"","4145","socks4","4603","1","2023-09-30T02:04:09.834Z","100","4177","4190"
"200.58.181.218","elite","AS25620","BO","Cotas Ltda.","213","Universidad Autonoma Gabriel Rene Moreno","4153","socks4","4795","1","2023-09-30T02:04:09.739Z","80","3260","4090"
"43.239.75.193","elite","AS133443","BD","COL","182","N/A","4145","socks4","5291","1","2023-09-30T02:04:09.743Z","99","3947","3997"
"119.18.158.130","elite","AS55685","ID","PT. Jala Lintas Media","186","N/A","4153","socks4","4694","1","2023-09-30T02:04:07.733Z","99","4154","4176"
"78.186.98.148","elite","AS9121","TR","TurkTelecom","90","N/A","1080","socks4","4985","2","2023-09-30T02:04:06.539Z","94","3771","4022"
"103.35.109.138","elite","AS23991","BD","Ranks ITT","168","Ranks ITT Ltd.","4145","socks4","4686","1","2023-09-30T02:04:06.541Z","99","4097","4118"
"70.90.67.139","elite","AS33661","US","Comcast Cable Communications, LLC","193","Comcast Cable Communications, LLC","54321","socks4","4998","1","2023-09-30T02:04:05.147Z","98","4061","4129"
"182.160.3.125","elite","AS136907","HK","Huawei International Pte. LTD","299","N/A","1080","socks5","2099","1","2023-09-30T02:04:05.533Z","68","2835","4167"
"103.124.137.158","elite","AS138089","ID","Global Media Data Prima","195","N/A","1080","socks4","4589","1","2023-09-30T02:04:04.251Z","36","1465","4117"
"198.98.49.197","elite","AS53667","US","FranTech Solutions","91","FranTech Solutions","30346","socks4","4601","1","2023-09-30T02:04:02.140Z","100","4145","4153"
"165.231.101.229","elite","AS41564","NL","Orion Network Limited","91","Fiber Grid","80","socks5","4981","1","2023-09-30T02:04:02.137Z","100","4098","4100"
"14.207.201.149","elite","AS45629","TH","Triple T Broadband Public Company Limited","204","Triple T Broadband Public Company Limited","8080","socks4","4000","1","2023-09-30T02:04:02.136Z","99","4077","4114"
"203.32.120.195","elite","AS209242","VG","Cloudflare London, LLC","11","Anaga Consulting Limited","80","socks4","2690","1","2023-09-30T02:04:02.134Z","100","4137","4139"
"50.116.8.96","elite","AS63949","US","Akamai Technologies, Inc.","183","Linode","17477","socks5","4900","1","2023-09-30T02:04:02.139Z","100","4021","4024"
"186.219.96.12","elite","AS262420","BR","Cabonnet Internet Ltda","213","Cabonnet Internet Ltda","52017","socks4","4407","1","2023-09-30T02:04:00.042Z","99","4086","4110"
"159.65.4.147","elite","AS14061","SG","DigitalOcean, LLC","190","DigitalOcean, LLC","7497","socks5","2583","83","2023-09-30T02:03:58.749Z","94","3840","4087"
"211.201.161.125","elite","AS9318","KR","SK Broadband Co Ltd","294","broadNnet","1080","socks4","3597","1","2023-09-30T02:03:58.751Z","100","4036","4041"
"159.65.243.101","elite","AS14061","US","DigitalOcean, LLC","94","Digital Ocean","54321","socks4","4793","1","2023-09-30T02:03:57.347Z","100","4036","4053"
"66.207.184.73","elite","AS7029","US","Windstream Communications LLC","161","Voce Telecom, LLC","5432","socks4","5010","1","2023-09-30T02:03:57.346Z","98","3931","4010"
"103.47.93.194","elite","AS134058","IN","Broban Internet Services Pvt.ltd","186","Broban  PVT Ltd.","1080","socks4","3193","82","2023-09-30T02:03:57.340Z","99","4127","4155"
"46.227.39.1","elite","AS51155","PL","TB Telecom Sp. z o. o.","39","Telemedian","1088","socks4","3890","1","2023-09-30T02:03:57.444Z","100","4014","4025"
"196.0.111.194","elite","AS21491","UG","Uganda Telecom Ltd","197","UTL","48009","socks4","5199","1","2023-09-30T02:03:55.146Z","95","3967","4161"
"60.12.57.140","elite","AS4837","CN","CNC Group CHINA169 Zhejiang Province Network","174","N/A","7302","socks5","4984","1","2023-09-30T02:03:55.149Z","86","3550","4131"
"38.127.179.19","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","55994","socks5","5009","1","2023-09-30T02:03:51.438Z","100","4082","4086"
"212.103.119.24","elite","AS57044","RU","CJSC \"ER-Telecom Holding\" Bryansk branch","188","JSC \"ER-Telecom Holding\" Bryansk Branch","1080","socks5","4189","1","2023-09-30T02:03:51.335Z","96","3827","3993"
"159.192.145.153","elite","AS131090","TH","CAT-BB","282","N/A","5678","socks4","4497","1","2023-09-30T02:03:51.336Z","36","1485","4101"
"70.32.25.146","elite","AS55293","US","A2 Hosting, Inc.","100","A2 Hosting, Inc.","36546","socks4","4696","1","2023-09-30T02:03:51.733Z","100","4015","4022"
"147.182.138.236","elite","AS14061","US","DigitalOcean, LLC","111","DigitalOcean, LLC","53846","socks4","4892","1","2023-09-30T02:03:51.633Z","99","3995","4043"
"103.82.11.237","elite","AS136156","BD","FNF Online","182","N/A","4153","socks4","4389","1","2023-09-30T02:03:48.050Z","99","4071","4112"
"147.182.239.59","elite","AS14061","US","DigitalOcean, LLC","153","DigitalOcean, LLC","60880","socks5","4316","1","2023-09-30T02:03:48.047Z","77","3126","4084"
"47.110.59.192","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","291","Aliyun Computing Co., LTD","9999","socks5","5103","1","2023-09-30T02:03:44.637Z","44","1793","4099"
"113.103.52.2","elite","AS4134","CN","Chinanet","217","Chinanet GD","38801","socks4","4999","86","2023-09-30T02:03:44.543Z","49","1990","4053"
"88.255.185.233","elite","AS9121","TR","Turk Telekomunikasyon Anonim Sirketi","84","Hatnet Bilgi Iletisim Teknolojileri ve Ticared LTD","1082","socks4","5014","1","2023-09-30T02:03:44.650Z","15","610","4076"
"36.75.16.40","elite","AS7713","ID","PT. TELKOM INDONESIA","286","N/A","4153","socks5","5105","90","2023-09-30T02:03:44.546Z","81","3272","4033"
"220.130.230.244","elite","AS3462","TW","Chunghwa Telecom Co., Ltd.","218","Chunghwa Telecom Co. Ltd.","1080","socks4","5098","1","2023-09-30T02:03:41.142Z","93","3752","4033"
"101.51.88.247","elite","AS23969","TH","TOT Public Company Limited","193","TOT Public Company Limited","4145","socks4","4700","1","2023-09-30T02:03:41.138Z","64","2651","4122"
"104.19.5.247","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4890","1","2023-09-30T02:03:41.145Z","100","4110","4110"
"110.232.249.172","elite","AS45232","IN","Spacenet  PVT LTD","172","509 Jaina tower 1st District Center","51327","socks4","5008","1","2023-09-30T02:03:41.239Z","76","3061","4035"
"188.138.179.13","elite","AS31252","MD","StarNet Solutii SRL","98","SC Starnet SRL","4153","socks4","4914","1","2023-09-30T02:03:41.139Z","84","3476","4126"
"110.78.141.219","elite","AS131090","TH","CAT-BB","300","N/A","4145","socks4","5007","1","2023-09-30T02:03:41.143Z","68","2798","4118"
"103.9.134.148","elite","AS9832","BD","Information Services Network Ltd","298","ISN Gazipur","5678","socks4","4807","1","2023-09-30T02:03:37.238Z","96","3996","4146"
"45.65.229.19","elite","AS262617","BR","UWBR VOX Telecomunicações S/A","239","MARGOTTO TELECOMUNICAÇÕES S/A","4145","socks4","614","1","2023-09-30T02:03:37.235Z","95","3891","4091"
"202.43.112.34","elite","AS45325","ID","PC24NET","282","N/A","4145","socks4","3797","1","2023-09-30T02:03:37.236Z","81","3282","4068"
"178.162.202.44","elite","AS28753","DE","Leaseweb Deutschland GmbH","95","Leaseweb Deutschland GmbH","2261","socks4","4695","1","2023-09-30T02:03:37.249Z","100","4153","4155"
"123.145.4.15","elite","AS4837","CN","CNC Group CHINA169 Chongqing Province Network","289","N/A","53309","socks5","4793","1","2023-09-30T02:03:37.151Z","57","2354","4139"
"93.43.193.230","elite","AS12874","IT","Fastweb SpA","34","Fastweb Internet NGA","8080","socks4","4693","1","2023-09-30T02:03:37.239Z","79","3269","4158"
"119.28.73.226","elite","AS132203","HK","ComsenzNet","240","Tencent cloud computing (Beijing) Co., Ltd.","30002","socks4","4391","1","2023-09-30T02:03:33.335Z","100","4042","4057"
"103.84.134.1","elite","AS136238","MV","SatLink Pvt Ltd","189","SatLink Pvt Ltd","1080","socks4","4203","1","2023-09-30T02:03:33.337Z","100","4168","4181"
"202.124.46.101","elite","AS9902","KH","NeocomISP Limited","205","NeocomISP Limited","4145","socks4","2695","1","2023-09-30T02:03:33.250Z","100","4112","4131"
"172.67.14.237","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5086","1","2023-09-30T02:03:30.040Z","100","4098","4101"
"138.97.0.87","elite","AS262346","BR","FP Telecomunicacoes Ltda","204","FP Telecomunicacoes Ltda","4145","socks4","5106","1","2023-09-30T02:03:30.035Z","75","3078","4085"
"46.227.37.73","elite","AS51155","PL","Telemedian - TB Telecom","86","Telemedian","51155","socks4","4786","1","2023-09-30T02:03:30.134Z","100","4084","4097"
"104.16.108.234","elite","AS137554","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1596","1","2023-09-30T02:03:30.036Z","100","4114","4115"
"201.159.8.126","elite","AS263778","AR","Coop. Serv. Pub. Limit. Tres Arroyos, CELTA","234","Coop. Serv. Pub. Limit. Tres Arroyos, CELTA","5678","socks4","4697","1","2023-09-30T02:03:30.037Z","98","4021","4122"
"104.21.80.83","elite","AS13335","CA","Cloudflare, Inc.","81","Cloudflare, Inc.","80","socks5","4685","1","2023-09-30T02:03:30.034Z","100","4069","4069"
"188.166.220.186","elite","AS14061","SG","DigitalOcean, LLC","192","Digitalocean","50001","socks5","5199","1","2023-09-30T02:03:29.951Z","100","4140","4140"
"194.59.170.116","elite","AS64458","IR","Mizban Dade Pasargad","95","Mizban Dade Pasargad LLC","1080","socks5","3603","1","2023-09-30T02:03:26.039Z","90","3659","4078"
"81.46.202.112","elite","AS16371","ES","acens Technologies, S.L.","99","ACENS-TELEFONICA","8080","socks4","4800","1","2023-09-30T02:03:26.139Z","100","4082","4084"
"67.43.42.117","elite","AS20473","US","The Constant Company, LLC","98","IPXO","8080","socks4","4893","1","2023-09-30T02:03:26.041Z","100","4021","4025"
"66.42.63.207","elite","AS20473","SG","Choopa","188","N/A","13802","socks5","3805","1","2023-09-30T02:03:26.044Z","99","4035","4074"
"186.251.255.245","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","288","Seanet Telecom Carazinho Eireli","31337","socks4","3491","1","2023-09-30T02:03:21.441Z","80","3299","4110"
"167.71.184.82","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","37908","socks4","5092","1","2023-09-30T02:03:21.450Z","100","4040","4047"
"109.73.189.36","elite","AS49924","IT","ECROM-MAIN","39","N/A","5678","socks4","3996","82","2023-09-30T02:03:21.446Z","82","3409","4151"
"209.141.33.219","elite","AS53667","US","FranTech Solutions","191","FranTech Solutions","9092","socks5","4089","1","2023-09-30T02:03:21.448Z","100","4059","4069"
"197.234.13.62","elite","AS36902","SC","Intelvision","181","Intelvision Ltd","4145","socks4","4798","1","2023-09-30T02:03:21.438Z","100","4157","4167"
"87.121.18.154","elite","AS34569","BG","Networx-Bulgaria Ltd.","46","Networx ltd.","5678","socks4","5009","1","2023-09-30T02:03:17.545Z","67","2698","4056"
"5.189.146.59","elite","AS51167","DE","Contabo GmbH","84","Contabo GmbH","55808","socks5","2296","1","2023-09-30T02:03:17.540Z","99","4038","4097"
"110.78.147.107","elite","AS131090","TH","CAT-BB","287","N/A","4145","socks4","5106","1","2023-09-30T02:03:17.547Z","74","3037","4111"
"177.125.206.157","elite","AS262346","BR","FP Telecomunicacoes Ltda","205","FP Telecomunicacoes Ltda","4145","socks4","4792","1","2023-09-30T02:03:17.541Z","80","3195","3975"
"47.254.241.21","elite","AS45102","MY","Alibaba (US) Technology Co., Ltd.","156","Alibaba.com LLC","21491","socks4","4893","1","2023-09-30T02:03:17.548Z","93","3735","4023"
"213.135.234.101","elite","AS6661","LU","POST Luxembourg","39","EPT","4153","socks4","5205","1","2023-09-30T02:03:15.680Z","100","4032","4045"
"54.36.183.52","elite","AS16276","FR","OVH SAS","6","OVH","9173","socks5","4906","1","2023-09-30T02:03:14.243Z","88","3497","3975"
"36.95.48.45","elite","AS7713","ID","PT. Telekomunikasi Indonesia","199","Telekomunikasi Indonesia","1080","socks4","4697","1","2023-09-30T02:03:14.145Z","98","4084","4166"
"104.19.109.209","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","1699","1","2023-09-30T02:03:14.147Z","100","4006","4006"
"5.9.173.18","elite","AS24940","DE","Hetzner Online GmbH","97","N/A","30000","socks4","5097","1","2023-09-30T02:03:14.244Z","98","3959","4058"
"179.107.61.23","elite","AS262346","BR","FP Telecomunicacoes Ltda","206","FP Telecomunicacoes Ltda","4145","socks4","4493","1","2023-09-30T02:03:10.442Z","80","3220","4004"
"130.185.213.146","elite","AS48917","BG","Optinet Ltd","47","Optinet Ltd","5678","socks4","2297","1","2023-09-30T02:03:10.440Z","99","4059","4094"
"176.57.189.116","elite","AS51167","DE","Contabo GmbH","14","Contabo GmbH","10898","socks4","4400","1","2023-09-30T02:03:10.437Z","100","4067","4068"
"91.90.16.211","elite","AS13307","UA","SKIF","54","SKIF ISP Ltd.","1080","socks4","1159","1","2023-09-30T02:03:10.432Z","96","3932","4115"
"177.91.76.34","elite","AS263432","BR","Corporativa Telecomunicacoes Eireli ME","195","Corporativa Telecomunicacoes Eireli ME","4153","socks4","4595","1","2023-09-30T02:03:10.438Z","92","3779","4130"
"218.1.200.180","elite","AS4812","CN","China Telecom","305","N/A","57114","socks5","6114","1","2023-09-30T02:03:06.545Z","45","1832","4094"
"96.70.52.227","elite","AS33491","US","Comcast Cable Communications, LLC","184","Comcast Cable Communications, LLC","48324","socks4","5095","1","2023-09-30T02:03:06.547Z","100","4111","4114"
"110.78.149.186","elite","AS131090","TH","CAT-BB","300","N/A","4145","socks4","5201","1","2023-09-30T02:03:06.545Z","72","2930","4053"
"179.107.61.81","elite","AS262346","BR","FP Telecomunicacoes Ltda","203","FP Telecomunicacoes Ltda","4145","socks4","4710","1","2023-09-30T02:03:06.546Z","77","3219","4159"
"37.75.112.35","elite","AS8926","MD","JSC \"Moldtelecom\" S.A.","94","JSC Moldtelecom S.A.","4153","socks4","4405","2","2023-09-30T02:03:06.638Z","98","4072","4146"
"38.127.179.16","elite","AS174","US","Cogent Communications","97","Torlandia Trading SRL","55994","socks5","2393","1","2023-09-30T02:03:06.639Z","100","3988","3994"
"185.67.100.105","elite","AS34636","IR","Laser Company Ltd","112","Laser IDC","4153","socks4","4899","1","2023-09-30T02:03:02.643Z","100","4085","4104"
"213.136.82.183","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","43052","socks5","5293","1","2023-09-30T02:03:02.644Z","88","3637","4119"
"115.127.121.194","elite","AS24342","BD","BRACNet Limited","177","BRACNet Limited","5678","socks4","604","1","2023-09-30T02:03:02.644Z","99","4079","4124"
"1.10.238.254","elite","AS23969","TH","TOT Public Company Limited","151","TOT Public Company Limited","4145","socks4","2092","2","2023-09-30T02:03:02.638Z","57","2304","4047"
"46.105.108.208","elite","AS16276","FR","OVH SAS","5","OVH ISP","28477","socks5","4408","1","2023-09-30T02:03:00.490Z","100","4152","4152"
"121.141.50.246","elite","AS4766","KR","Korea Telecom","298","Kornet","5678","socks4","930","1","2023-09-30T02:03:00.476Z","29","1182","4084"
"128.199.59.76","elite","AS14061","NL","DigitalOcean, LLC","12","DigitalOcean, LLC","29321","socks5","5095","1","2023-09-30T02:03:00.489Z","99","4107","4143"
